"system","troph","mean.cor","median.cor","cor.se","nsig","prop.sig"
"Kasumigaura","Phytoplankton",0.0039,0.0217,0.009,6,0.4
"Kasumigaura","Zooplankton",-0.0222,0.0143,0.0095,5,0.333333333333333
"Kinneret","Phytoplankton",3e-04,0.0115,0.0159,7,0.466666666666667
"Kinneret","Zooplankton",-0.002,0.0337,0.0067,5,0.333333333333333
"Lower Zurich","Phytoplankton",-0.071,-0.0874,0.0108,9,0.6
"Lower Zurich","Zooplankton",-0.0121,0.0163,0.0078,5,0.333333333333333
"Mendota","Phytoplankton",0.0216,0.0412,0.0117,7,0.466666666666667
"Mendota","Zooplankton",-0.0247,-0.0172,0.0081,4,0.266666666666667
"Windermere","Phytoplankton",-0.0021,-0.009,0.0082,3,0.2
"Windermere","Zooplankton",0.0062,0.001,0.007,4,0.266666666666667
