"system","troph","mean.cor","median.cor","cor.se","median.lag","lag.se","nsig","prop.sig"
"Kasumigaura","Phytoplankton",-0.0303,-0.1042,0.0115,24,1.9946,4,0.266666666666667
"Kasumigaura","Zooplankton",-0.051,-0.1142,0.0119,-11,2.3539,5,0.333333333333333
"Kinneret","Phytoplankton",-0.0591,-0.1183,0.0174,0,1.839,6,0.4
"Kinneret","Zooplankton",-0.0545,-0.1223,0.0095,-4,1.551,3,0.2
"Lower Zurich","Phytoplankton",-0.09,-0.1499,0.0123,0,1.9131,6,0.4
"Lower Zurich","Zooplankton",-0.0609,-0.1402,0.0128,-16,1.5281,7,0.466666666666667
"Mendota","Phytoplankton",0.0051,0.1147,0.015,0,1.876,8,0.533333333333333
"Mendota","Zooplankton",0.0386,0.1745,0.0138,6,2.0812,6,0.4
"Windermere","Phytoplankton",0.0885,0.1778,0.0118,2,1.6962,5,0.333333333333333
"Windermere","Zooplankton",0.0053,0.1388,0.0149,2,1.6877,8,0.533333333333333
