"troph","FD.metric","state.metric","mean.cor","median.cor","se","nsig","prop.sig"
"Phytoplankton","FDis","Community",0.156,0.158,0.00585,0,0
"Phytoplankton","FDis","Density",0.157,0.156,0.00284,1,0.2
"Phytoplankton","FDis","FI",0.135,0.137,0.00391,1,0.2
"Phytoplankton","FDis","MVI",0.159,0.174,0.00964,2,0.4
"Phytoplankton","FDis","Z_P.ratio",0.266,0.242,0.0309,3,0.6
"Phytoplankton","FEve","Community",0.135,0.118,0.00831,1,0.2
"Phytoplankton","FEve","Density",0.153,0.16,0.00668,0,0
"Phytoplankton","FEve","FI",0.134,0.118,0.00727,0,0
"Phytoplankton","FEve","MVI",0.118,0.115,0.00558,0,0
"Phytoplankton","FEve","Z_P.ratio",0.181,0.149,0.0105,2,0.4
"Phytoplankton","FRic","Community",0.187,0.188,0.0117,2,0.4
"Phytoplankton","FRic","Density",0.196,0.197,0.00875,3,0.6
"Phytoplankton","FRic","FI",0.141,0.142,0.0102,1,0.2
"Phytoplankton","FRic","MVI",0.134,0.13,0.00698,1,0.2
"Phytoplankton","FRic","Z_P.ratio",0.171,0.166,0.00778,1,0.2
"Zooplankton","FDis","Community",0.149,0.138,0.0135,2,0.5
"Zooplankton","FDis","Density",0.143,0.14,0.00479,0,0
"Zooplankton","FDis","FI",0.139,0.137,0.00796,0,0
"Zooplankton","FDis","MVI",0.137,0.13,0.00729,0,0
"Zooplankton","FDis","Z_P.ratio",0.173,0.164,0.0102,1,0.25
"Zooplankton","FEve","Community",0.153,0.134,0.0136,1,0.25
"Zooplankton","FEve","Density",0.144,0.14,0.00591,0,0
"Zooplankton","FEve","FI",0.171,0.178,0.0126,1,0.25
"Zooplankton","FEve","MVI",0.126,0.131,0.00584,0,0
"Zooplankton","FEve","Z_P.ratio",0.145,0.136,0.00464,0,0
"Zooplankton","FRic","Community",0.147,0.118,0.0159,1,0.25
"Zooplankton","FRic","Density",0.161,0.172,0.012,2,0.5
"Zooplankton","FRic","FI",0.164,0.159,0.0167,2,0.5
"Zooplankton","FRic","MVI",0.136,0.132,0.0079,0,0
"Zooplankton","FRic","Z_P.ratio",0.171,0.178,0.0146,2,0.5
