"troph","FD.metric","state.metric","prop.forward","prop.reverse","prop.bidirec","prop.none"
"Phytoplankton","FDis","Community",0,0,0.4,0.6
"Phytoplankton","FDis","Density",0.4,0,0.6,0
"Phytoplankton","FDis","FI",0.2,0,0.4,0.4
"Phytoplankton","FDis","MVI",0.2,0,0.2,0.6
"Phytoplankton","FDis","Z_P.ratio",0.4,0,0.6,0
"Phytoplankton","FEve","Community",0,0.2,0,0.8
"Phytoplankton","FEve","Density",0.2,0,0.4,0.4
"Phytoplankton","FEve","FI",0,0.2,0.4,0.4
"Phytoplankton","FEve","MVI",0.2,0,0,0.8
"Phytoplankton","FEve","Z_P.ratio",0.2,0,0.2,0.6
"Phytoplankton","FRic","Community",0.2,0,0.2,0.6
"Phytoplankton","FRic","Density",0,0.2,0.2,0.6
"Phytoplankton","FRic","FI",0,0.6,0,0.4
"Phytoplankton","FRic","MVI",0.2,0.2,0,0.6
"Phytoplankton","FRic","Z_P.ratio",0,0.4,0,0.6
"Zooplankton","FDis","Community",0,0.2,0.4,0.4
"Zooplankton","FDis","Density",0.2,0,0,0.8
"Zooplankton","FDis","FI",0,0.2,0,0.8
"Zooplankton","FDis","MVI",0,0,0,1
"Zooplankton","FDis","Z_P.ratio",0.4,0.2,0.2,0.2
"Zooplankton","FEve","Community",0,0,0,1
"Zooplankton","FEve","Density",0,0,0.2,0.8
"Zooplankton","FEve","FI",0.2,0.2,0,0.6
"Zooplankton","FEve","MVI",0,0,0,1
"Zooplankton","FEve","Z_P.ratio",0,0.2,0.2,0.6
"Zooplankton","FRic","Community",0,0.4,0,0.6
"Zooplankton","FRic","Density",0,0.4,0,0.6
"Zooplankton","FRic","FI",0,0.4,0.2,0.4
"Zooplankton","FRic","MVI",0.2,0.2,0,0.6
"Zooplankton","FRic","Z_P.ratio",0,0.6,0,0.4
