"troph","FD.metric","state.metric","median.cor","nsig","prop.sig"
"Phytoplankton","FDis","Community","0.074 ± 0.011",2,0.4
"Phytoplankton","FDis","Density","0.366 ± 0.072",3,0.6
"Phytoplankton","FDis","FI","0.057 ± 0.037",2,0.4
"Phytoplankton","FDis","MVI","-0.045 ± 0.049",1,0.2
"Phytoplankton","FDis","Z_P.ratio","0.194 ± 0.056",3,0.6
"Phytoplankton","FEve","Community","0.071 ± 0.017",1,0.2
"Phytoplankton","FEve","Density","0.102 ± 0.024",2,0.4
"Phytoplankton","FEve","FI","0.134 ± 0.029",3,0.6
"Phytoplankton","FEve","MVI","-0.065 ± 0.011",0,0
"Phytoplankton","FEve","Z_P.ratio","0.072 ± 0.017",1,0.2
"Phytoplankton","FRic","Community","0.072 ± 0.034",1,0.2
"Phytoplankton","FRic","Density","0.276 ± 0.032",2,0.4
"Phytoplankton","FRic","FI","0.131 ± 0.054",3,0.6
"Phytoplankton","FRic","MVI","0.194 ± 0.043",1,0.2
"Phytoplankton","FRic","Z_P.ratio","0.152 ± 0.034",2,0.4
"Zooplankton","FDis","Community","0.16 ± 0.022",3,0.6
"Zooplankton","FDis","Density","-0.007 ± 0.012",0,0
"Zooplankton","FDis","FI","-0.008 ± 0.028",1,0.2
"Zooplankton","FDis","MVI","0.053 ± 0.015",0,0
"Zooplankton","FDis","Z_P.ratio","0.05 ± 0.03",2,0.4
"Zooplankton","FEve","Community","0.007 ± 0.018",0,0
"Zooplankton","FEve","Density","-0.026 ± 0.02",1,0.2
"Zooplankton","FEve","FI","0.066 ± 0.02",1,0.2
"Zooplankton","FEve","MVI","-0.073 ± 0.019",0,0
"Zooplankton","FEve","Z_P.ratio","-0.022 ± 0.034",2,0.4
"Zooplankton","FRic","Community","0.099 ± 0.016",2,0.4
"Zooplankton","FRic","Density","0.14 ± 0.021",2,0.4
"Zooplankton","FRic","FI","0.177 ± 0.044",3,0.6
"Zooplankton","FRic","MVI","-0.026 ± 0.044",1,0.2
"Zooplankton","FRic","Z_P.ratio","0.15 ± 0.017",3,0.6
